,stopwords,stopwords_token
0,un,un
1,una,una
2,unas,unas
3,unos,unos
4,uno,uno
5,sobre,sobr
6,todo,tod
7,también,tambien
8,tras,tras
9,otro,otro
10,algún,algun
11,alguno,algun
12,alguna,algun
13,algunos,algun
14,algunas,algun
15,ser,ser
16,es,es
17,soy,soy
18,eres,eres
19,somos,som
20,sois,sois
21,estoy,estoy
22,esta,esta
23,estamos,estam
24,estais,estais
25,estan,estan
26,como,com
27,en,en
28,para,par
29,atras,atras
30,porque,porqu
31,por qué,por que
32,estado,estad
33,estaba,estab
34,ante,ante
35,antes,antes
36,siendo,siend
37,ambos,ambos
38,pero,per
39,por,por
40,poder,pod
41,puede,pued
42,puedo,pued
43,podemos,pod
44,podeis,podeis
45,pueden,pued
46,fui,fui
47,fue,fue
48,fuimos,fuim
49,fueron,fueron
50,hacer,hac
51,hago,hag
52,hace,hac
53,hacemos,hac
54,haceis,haceis
55,hacen,hac
56,cada,cad
57,fin,fin
58,incluso,inclus
59,primero,primer
60,desde,desd
61,conseguir,consegu
62,consigo,consig
63,consigue,consig
64,consigues,consig
65,conseguimos,consegu
66,consiguen,consig
67,ir,ir
68,voy,voy
69,va,va
70,vamos,vam
71,vais,vais
72,van,van
73,vaya,vay
74,gueno,guen
75,ha,ha
76,tener,ten
77,tengo,teng
78,tiene,tien
79,tenemos,ten
80,teneis,teneis
81,tienen,tien
82,el,el
83,la,la
84,lo,lo
85,las,las
86,los,los
87,su,su
88,aqui,aqui
89,mio,mio
90,tuyo,tuy
91,ellos,ellos
92,ellas,ellas
93,nos,nos
94,nosotros,nosotr
95,vosotros,vosotr
96,vosotras,vosotr
97,si,si
98,dentro,dentr
99,solo,sol
100,solamente,sol
101,saber,sab
102,sabes,sab
103,sabe,sab
104,sabemos,sab
105,sabeis,sabeis
106,saben,sab
107,ultimo,ultim
108,largo,larg
109,bastante,bastant
110,haces,hac
111,muchos,much
112,aquellos,aquell
113,aquellas,aquell
114,sus,sus
115,entonces,entonc
116,tiempo,tiemp
117,dos,dos
118,bajo,baj
119,arriba,arrib
120,encima,encim
121,usar,usar
122,uso,uso
123,usas,usas
124,usa,usa
125,usamos,usam
126,usais,usais
127,usan,usan
128,emplear,emple
129,empleo,emple
130,empleas,emple
131,emplean,emple
132,ampleamos,ample
133,empleais,empleais
134,valor,valor
135,muy,muy
136,era,era
137,eras,eras
138,eramos,eram
139,eran,eran
140,modo,mod
141,bien,bien
142,cual,cual
143,cuando,cuand
144,donde,dond
145,mientras,mientr
146,quien,qui
147,con,con
148,entre,entre
149,sin,sin
150,trabajo,trabaj
151,trabajar,trabaj
152,trabajas,trabaj
153,trabaja,trabaj
154,trabajamos,trabaj
155,trabajais,trabajais
156,trabajan,trabaj
157,podria,podri
158,podrias,podri
159,podriamos,podri
160,podrian,podri
161,podriais,podriais
162,yo,yo
163,me,me
164,es,es
165,su,su
166,un,un
167,que,que
168,de,de
169,se,se
170,ryanair,ryan
171,vuelo,vuel
172,iberia,iberi
173,twitter,twitt
174,del,del
175,ya,ya
176,te,te
177,al,al
178,mi,mi
179,com,com
180,le,le
